R_gyr,L_gyr,R_acc,L_acc,SampleRate
-0.183935052156448,2.93057045936585,-4.23841047286987,-10.2493358612061,
-0.266182446479797,2.78252515792847,-3.8160343170166,-10.9500410079956,
-0.336466574668884,2.58940396308899,-4.35316014289856,-11.6043575286865,
-0.403332608938217,2.32322158813477,-4.31165475845337,-12.1878715515137,
-0.445631277561188,2.02371289730072,-4.3873405456543,-12.912991142273,
-0.494766092300415,1.6742148399353,-4.78041896820068,-14.1166414260864,
-0.557359540462494,1.32108519077301,-4.90005178451538,-14.7660751342773,
-0.651570177078247,1.03759878873825,-4.65346202850342,-15.3129669189453,
-0.756462287902832,0.747917091846466,-4.39466524124146,-16.1845752716064,
-0.881008315086365,0.511001926660538,-4.54115390777588,-16.9389923095703,
-1.03674430847168,0.270241404324770,-4.81459970474243,-17.1391944885254,
-1.217902135849,-0.0442213207483292,-4.98794507980347,-16.4580209732056,
-1.42939541339874,-0.451612901687622,-4.78286066055298,-15.5302581787109,
-1.69942314624786,-0.859004449844360,-4.54847850799561,-14.9833665847778,
-1.97650072574615,-1.12881858348846,-4.53382949829102,-15.3227327346802,
-2.24695568084717,-1.53172397613525,-4.5020902633667,-15.5229339599609,
-2.53834638595581,-2.27558212280273,-4.58998365402222,-15.0566112518311,
-2.83016452789307,-3.40867328643799,-4.45814352035522,-12.1854299545288,
-3.18735303878784,-2.87203578948975,-4.58510074615479,-17.1440776824951,
-3.78252511024475,-1.15552234649658,-4.6168399810791,-26.8294315338135,
-4.62358460426331,-0.770775461196899,-3.76476316452026,-13.8822584629059,
-5.71736783981323,-0.154881438612938,-1.93121118545532,-3.40342407226563,
-6.7709888458252,0.0875881209969521,-0.275887310504913,-9.4924768447876,
-7.94103832244873,-0.113437300920486,-0.559099069237709,-10.3689685821533,
-9.02713127136231,-0.259132659435272,-1.44047358036041,-7.30002708435059,
-9.43922271728516,-0.399273645877838,-3.87951276302338,-5.67888412475586,
-9.606494140625,-0.230506305396557,-4.62904739379883,-6.10614290237427,
-10.0348213195801,-0.0166631054133177,-2.61482572555542,-7.8298282623291,
-10.5746635437012,-0.00769066438078880,-0.146488809585571,-6.92648057937622,
-11.0931423187256,-0.0365306556224823,-2.36335335969925,-5.4835657119751,
-10.0792560577393,-0.0796838283538818,-15.1591539859772,-4.94399824142456,
-5.44904918670654,-0.145908996462822,-36.1680950164795,-4.46302652359009,
0.348002529144287,-0.143559065461159,-45.0184608459473,-5.08560438156128,
1.60307621955872,-0.134586629271507,-11.6922506332397,-5.04409904479981,
0.863704323768616,-0.107669299840927,12.0096430301666,-4.88784418106079,
0.683400976657868,-0.0929288610816002,12.3563331604004,-5.58610782623291,
0.907071149349213,-0.0373851735144854,0.122073936462402,-6.31122760772705,
1.32642599344254,0.0373851731419563,-8.09350872039795,-6.01092538833618,
1.96603286266327,0.0700704962015152,-5.16861457824707,-5.40055522918701,
2.66289258003235,0.103396706283093,-2.05084371566772,-5.4860068321228,
3.21982474327087,0.129886773228645,-2.18268377780914,-5.73992080688477,
